,id,price
0,0,3590.4182871387425
1,1,6324.531749368678
2,2,10139.657447914045
3,3,4644.652962374146
4,4,2070.955203301701
5,5,6198.996708945522
6,6,5122.882352510549
7,7,4728.993956795814
8,8,6218.3987206295715
9,9,11896.93579997082
10,10,4808.984087247693
11,11,659.6199574335728
12,12,3205.7925786553405
13,13,1650.0482188204041
14,14,3096.2711924297687
15,15,1953.1191456962638
16,16,1793.6858195723055
17,17,4379.399272906392
18,18,4070.6243699426873
19,19,1365.6115002765825
20,20,1868.7354391923964
21,21,5994.308160993369
22,22,4688.923147249152
23,23,399.3451556367804
24,24,14147.217920719857
25,25,300.0
26,26,300.0
27,27,1462.2166743895527
28,28,2107.3736724244854
29,29,623.4343003275749
30,30,10658.707316439642
31,31,300.0
32,32,4568.143082463455
33,33,300.0
34,34,1257.375862715503
35,35,2973.3125514694675
36,36,7224.355717849216
37,37,2307.911463702827
38,38,3189.147609079989
39,39,569.8399867310295
40,40,682.1347791091534
41,41,8263.309697197357
42,42,1309.5122989799088
43,43,2169.012039089628
44,44,9232.581699931156
45,45,2642.785628810669
46,46,1390.4177594569273
47,47,799.3458193133829
48,48,634.8973301234782
49,49,3712.6625716919652
50,50,300.0
51,51,4901.928243811293
52,52,3590.3533177847003
53,53,7601.711607701873
54,54,6426.7671332016325
55,55,2945.1644681651946
56,56,10112.346114489947
57,57,2957.0974766794106
58,58,4626.693107326643
59,59,3470.8673525855884
60,60,780.8078749360061
61,61,798.3005073443123
62,62,6461.958033088333
63,63,1758.2272329029392
64,64,9178.027384994117
65,65,15168.121360727677
66,66,1135.111322171594
67,67,12253.571931411092
68,68,5856.242707577575
69,69,7822.968679066509
70,70,300.0
71,71,565.2666455436811
72,72,300.0
73,73,1292.1232640389967
74,74,5509.079239835246
75,75,2539.246633317923
76,76,7926.886901843083
77,77,10927.09369318747
78,78,3173.6013728362973
79,79,6351.551770225031
80,80,10509.898836744167
81,81,2904.0485530000756
82,82,11883.928675668687
83,83,6270.216765251299
84,84,1496.4148292963598
85,85,8910.916870052644
86,86,1615.2629469724209
87,87,12024.2749999674
88,88,9923.82484641667
89,89,12646.710116826096
90,90,5806.736354765664
91,91,2137.7400890931362
92,92,1715.227271513033
93,93,1284.084817054521
94,94,18000.0
95,95,723.6675652566396
96,96,11012.956992696067
97,97,14357.105803043432
98,98,11907.177274270729
99,99,418.685429310985
100,100,3236.6368908918776
101,101,625.2462675630354
102,102,300.0
103,103,300.0
104,104,300.0
105,105,1998.5441874140913
106,106,1902.1822300163853
